,VIF
age,1.336746124769487
height_cm,2.7412469034775824
weight_kg,2.751360823185812
pace,1.6456921525813204
shooting,4.311158321599529
passing,3.524100916523745
defending,3.1560764621613706
physic,2.335894127827763
