,sum_sq,df,F,PR(>F)
age,44778.10297959164,1.0,2615.4185436967546,0.0
height_cm,1127.0079475349812,1.0,65.82676104479069,5.793090668097572e-16
weight_kg,267.6860839066592,1.0,15.635122998804327,7.759202674916195e-05
pace,2161.513058936002,1.0,126.2505769697408,4.871784371167514e-29
shooting,1971.9082903649785,1.0,115.17606075095416,1.1746918958337297e-26
passing,15288.084654466758,1.0,892.9529712574437,1.7301967765467437e-184
defending,4059.621263240416,1.0,237.11609080678957,1.2766182919076329e-52
physic,2385.1569610356246,1.0,139.31326542268047,7.668078927225646e-32
Residual,116729.73216873145,6818.0,,
