,sum_sq,df,F,PR(>F)
age,826.2853673196299,1.0,63.24543360989227,2.1209834899694275e-15
height_cm,897.616649308417,1.0,68.70526387890055,1.3646230970172662e-16
weight_kg,605.4368858793983,1.0,46.341276132091245,1.0781129812932437e-11
pace,5744.670870644605,1.0,439.7078957583568,1.1592831987962316e-94
shooting,2184.991566937669,1.0,167.24335750154322,8.218313990678819e-38
passing,17575.77453838598,1.0,1345.2827868848522,5.831195041583018e-269
defending,3944.9062552057794,1.0,301.9505325021125,3.2555945066575847e-66
physic,4699.610557317535,1.0,359.71701696636563,3.2599100394278013e-78
Residual,89075.42114635892,6818.0,,
