,slope_of_overall
LB,1004235.9728836023
LCB,896852.0822328152
LCM,1100614.347883259
Other,1173327.5035755988
RB,856759.0738037189
RCB,1060303.0785143764
RCM,1379708.29851944
RM,1047581.023302273
ST,1593209.038842117
